functionid,itemid,triggerid,function,parameter
10199,10019,10016,diff,0
10204,10055,10041,last,0
10207,10058,10044,diff,0
10208,10057,10043,diff,0
12144,22181,13000,last,0
12549,22232,13025,nodata,5m
12550,10020,10047,nodata,5m
12553,10056,10042,last,0
12580,17350,10012,last,0
12583,10025,10021,change,0
12592,22686,13266,last,0
12598,22454,13272,last,0
12641,22189,13015,min,10m
12645,22183,13073,min,10m
12646,22191,13074,min,10m
12648,23620,13075,min,10m
12649,22185,13019,min,10m
12651,22396,13017,min,10m
12653,22219,13023,min,10m
12671,22704,13287,diff,0
12672,22726,13288,diff,0
12673,22741,13289,diff,0
12675,22757,13291,last,0
12676,22756,13291,last,0
12677,22766,13292,last,0
12678,22764,13292,last,0
12679,22773,13293,last,0
12680,22771,13293,last,0
12681,22785,13294,diff,0
12682,22808,13295,last,0
12683,22808,13296,last,0
12684,22809,13297,last,0
12685,22809,13298,last,0
12686,22810,13299,last,0
12687,22810,13300,last,0
12688,22811,13301,last,0
12689,22811,13302,last,0
12690,22800,13303,last,0
12691,22800,13304,last,0
12692,22801,13305,last,0
12693,22812,13306,last,0
12694,22801,13307,last,0
12695,22812,13308,last,0
12696,22802,13309,last,0
12697,22813,13310,last,0
12698,22802,13311,last,0
12699,22813,13312,last,0
12700,22814,13313,last,0
12701,22803,13314,last,0
12702,22814,13315,last,0
12703,22803,13316,last,0
12704,22804,13317,last,0
12705,22804,13318,last,0
12706,22815,13319,last,0
12707,22815,13320,last,0
12708,22816,13321,last,0
12709,22805,13322,last,0
12710,22817,13323,last,0
12711,22817,13324,last,0
12712,22818,13325,last,0
12713,22818,13326,last,0
12715,22833,13328,nodata,5m
12717,22835,13330,last,0
12718,22836,13331,last,0
12723,22853,13336,diff,0
12724,22856,13337,last,0
12725,22858,13338,diff,0
12726,22859,13339,change,0
12727,22861,13340,diff,0
12728,22862,13341,last,0
12729,22869,13342,last,0
12730,22872,13343,last,0
12731,22873,13344,nodata,5m
12733,22875,13346,last,0
12734,22876,13347,last,0
12739,22893,13352,diff,0
12740,22896,13353,last,0
12741,22898,13354,diff,0
12742,22899,13355,change,0
12743,22901,13356,diff,0
12744,22902,13357,last,0
12745,22909,13358,last,0
12746,22912,13359,last,0
12747,22913,13360,nodata,5m
12755,22933,13368,diff,0
12757,22938,13370,diff,0
12758,22939,13371,change,0
12759,22941,13372,diff,0
12760,22942,13373,last,0
12761,22949,13374,last,0
12762,22952,13375,last,0
12763,22953,13376,nodata,5m
12771,22973,13384,diff,0
12773,22978,13386,diff,0
12775,22981,13388,diff,0
12776,22982,13389,last,0
12777,22989,13390,last,0
12778,22992,13391,last,0
12779,22993,13392,nodata,5m
12782,22996,13395,last,0
12787,23013,13400,diff,0
12788,23016,13401,last,0
12789,23018,13402,diff,0
12790,23019,13403,change,0
12791,23021,13404,diff,0
12792,23022,13405,last,0
12793,23029,13406,last,0
12794,23032,13407,last,0
12795,23033,13408,nodata,5m
12797,23035,13410,last,0
12798,23036,13411,last,0
12803,23053,13416,diff,0
12805,23058,13418,diff,0
12806,23059,13419,change,0
12807,23061,13420,diff,0
12808,23062,13421,last,0
12809,23069,13422,last,0
12810,23072,13423,last,0
12812,23149,13425,diff,0
12815,23150,13428,change,0
12818,23147,13431,last,0
12820,23158,13433,last,0
12824,23160,13437,nodata,5m
12826,23165,13439,last,0
12830,23226,13442,last,0
12831,23227,13442,last,0
12832,23235,13443,last,0
12833,23236,13443,last,0
12834,23243,13444,last,0
12835,23244,13444,last,0
12836,23193,13445,last,0
12837,23192,13445,last,0
12838,23196,13446,last,0
12839,23195,13446,last,0
12840,23199,13447,last,0
12841,23198,13447,last,0
12842,23202,13448,last,0
12843,23201,13448,last,0
12844,23205,13449,last,0
