itemid,type,snmp_community,snmp_oid,hostid,name,key_,delay,history,trends,status,value_type,trapper_hosts,units,multiplier,delta,snmpv3_securityname,snmpv3_securitylevel,snmpv3_authpassphrase,snmpv3_privpassphrase,formula,error,lastlogsize,logtimefmt,templateid,valuemapid,delay_flex,params,ipmi_sensor,data_type,authtype,username,password,publickey,privatekey,mtime,flags,filter,interfaceid,port,description,inventory_link,lifetime,snmpv3_authprotocol,snmpv3_privprotocol,state,snmpv3_contextname
10009,0,,,10001,"Number of processes",proc.num[],60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"Total number of processes in any state.",0,0,0,0,0,
10010,0,,,10001,"Processor load (1 min average)","system.cpu.load[all,avg1]",60,7,365,0,0,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The processor load is calculated as system CPU load sumed by total number of CPU cores.",0,0,0,0,0,
10013,0,,,10001,"Number of running processes","proc.num[,,run]",60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"Number of processes in running state.",0,0,0,0,0,
10014,0,,,10001,"Free swap space","system.swap.size[,free]",60,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
10016,0,,,10001,"Number of logged in users",system.users.num,60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"Number of users who are currently logged in.",0,0,0,0,0,
10019,0,,,10001,"Checksum of $1",vfs.file.cksum[/etc/passwd],3600,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
10020,0,,,10001,"Agent ping",agent.ping,60,7,365,0,3,,,0,0,,0,,,1,,0,,22232,10,,,,0,0,,,,,0,0,,NULL,,"The agent always returns 1 for this item. It could be used in combination with nodata() for availability check.",0,0,0,0,0,
10025,0,,,10001,"System uptime",system.uptime,600,7,365,0,3,,uptime,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
10026,0,,,10001,"Total memory",vm.memory.size[total],3600,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
10030,0,,,10001,"Total swap space","system.swap.size[,total]",3600,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
10055,0,,,10001,"Maximum number of processes",kernel.maxproc,3600,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.",0,0,0,0,0,
10056,0,,,10001,"Maximum number of opened files",kernel.maxfiles,3600,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.",0,0,0,0,0,
10057,0,,,10001,"Host name",system.hostname,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"System host name.",3,0,0,0,0,
