itemappid,applicationid,itemid
4653,1,10016
694,1,10025
636,1,10055
634,1,10056
448,1,10057
444,1,10058
646,1,17318
642,1,17352
4462,5,22452
4464,5,22454
4466,5,22456
4468,5,22458
4704,5,22686
4458,7,22446
4460,7,22448
600,9,10009
804,9,10013
587,13,10010
689,13,17354
671,13,17356
675,13,17358
679,13,17360
683,13,17362
4659,13,22665
4665,13,22668
4671,13,22671
4677,13,22674
4683,13,22677
4692,13,22680
4698,13,22683
4587,15,10014
4593,15,10026
4595,15,10030
4589,15,17350
4583,15,22181
588,17,10010
690,17,17354
672,17,17356
676,17,17358
680,17,17360
684,17,17362
4660,17,22665
4666,17,22668
4672,17,22671
4678,17,22674
4684,17,22677
4693,17,22680
4699,17,22683
693,21,10025
447,21,10057
443,21,10058
645,21,17318
641,21,17352
4654,23,10016
654,23,10019
4447,179,22183
4443,179,22185
4441,179,22187
4097,179,22189
5813,179,22191
5814,179,22196
5815,179,22199
4451,179,22219
4445,179,22396
4398,179,22399
4400,179,22400
4401,179,22401
4402,179,22402
4404,179,22404
4406,179,22406
4408,179,22408
4410,179,22410
4412,179,22412
4414,179,22414
4416,179,22416
4418,179,22418
4420,179,22420
4422,179,22422
4424,179,22424
4426,179,22426
4428,179,22428
4430,179,22430
4707,179,22689
5341,179,23171
5421,179,23251
5849,179,23634
4548,206,22231
4544,206,22232
5514,206,23318
4545,207,10020
4549,207,10059
5515,207,23319
4719,227,22701
4720,227,22702
4721,227,22703
4722,227,22704
4723,227,22705
4724,227,22706
4725,227,22707
4726,227,22708
4762,227,22709
4727,228,22710
4728,228,22711
4729,228,22712
4730,228,22713
4731,228,22714
4732,229,22715
4733,229,22716
4734,229,22717
4735,229,22718
4736,229,22719
4737,230,22721
4738,230,22722
4739,230,22723
4740,230,22724
4741,230,22725
4742,230,22726
4743,230,22727
4744,230,22728
4763,230,22729
4745,231,22730
4746,231,22731
4747,231,22732
4748,231,22733
4749,231,22734
4750,232,22736
4751,232,22737
4752,232,22738
4753,232,22739
4754,232,22740
4755,232,22741
4756,232,22742
4757,232,22743
4764,232,22744
4758,234,22749
4759,234,22755
4760,234,22756
4761,234,22757
4765,234,22758
4766,234,22759
4767,235,22761
4768,235,22762
4769,235,22763
4770,235,22764
4771,235,22765
4772,235,22766
4773,236,22768
4774,236,22769
4775,236,22770
4776,236,22771
4777,236,22772
4778,236,22773
4779,237,22774
4780,237,22775
4781,237,22776
4782,237,22777
4783,237,22778
4784,238,22780
4785,238,22781
4786,238,22782
4787,238,22783
4788,238,22784
4789,238,22785
4790,238,22786
4791,238,22787
4792,238,22788
4793,240,22793
4794,241,22797
4795,242,22799
4817,245,22800
4818,245,22801
4819,245,22802
4820,245,22803
4821,245,22805
4823,245,22806
4822,246,22804
4824,247,22807
4825,248,22809
4826,248,22810
4827,248,22811
4828,248,22812
4829,248,22813
4830,248,22814
4831,248,22816
4832,249,22808
4833,249,22815
4834,250,22817
4835,250,22818
4836,251,22819
4837,251,22820
